ep,t,cp,cv,theta_rad,theta_dot_rad,cp_fz,cv_fz,pd_fz,pv_fz,a,a_f,a_q,q0,q1,fz0,fz1,mu_cp_L,mu_cp_R,mu_cv_L,mu_cv_R,mu_pd_L,mu_pd_R,mu_pv_L,mu_pv_R,xi_top1,xi_top1_v,xi_top2,xi_top2_v,xi_top3,xi_top3_v
260,20,-0.019731780514121056,-0.7549149990081787,0.11904372274875641,1.0729501247406006,-0.019731780514121056,-0.7549149990081787,0.9946858882904053,0.48362043499946594,1,1,1,35.25202560424805,54.02140426635742,-5.5535736083984375,5.553571701049805,0.2839266359806061,0.27222299575805664,0.44937124848365784,0.10671921074390411,0.0012355153448879719,0.6022331714630127,0.05975838750600815,0.7108390927314758,3,0.37977373600006104,11,0.3641192615032196,7,0.09019080549478531
260,21,-0.03483008220791817,-0.5615504384040833,0.1405027210712433,0.8198723196983337,-0.03483008220791817,-0.5615504384040833,1.1739894151687622,0.36954841017723083,1,1,1,40.376380920410156,53.66482925415039,-5.58216667175293,5.582164764404297,0.2884834408760071,0.2678249478340149,0.3892131745815277,0.13358250260353088,0.0005005791899748147,0.7445890307426453,0.09064099937677383,0.601240336894989,3,0.33526065945625305,11,0.3112524151802063,7,0.11506536602973938
260,22,-0.046061087399721146,-0.36860209703445435,0.15690016746520996,0.5744739174842834,-0.046061087399721146,-0.36860209703445435,1.3110004663467407,0.2589377760887146,1,1,1,46.256813049316406,52.2786865234375,-5.5931596755981445,5.593157768249512,0.29190123081207275,0.26458218693733215,0.3332473933696747,0.16516174376010895,0.00024149978708010167,0.842562735080719,0.13150590658187866,0.4951266348361969,3,0.27703866362571716,11,0.25111061334609985,7,0.13730396330356598
260,23,-0.0534331314265728,-0.1759873926639557,0.16838964819908142,0.33504045009613037,-0.0534331314265728,-0.1759873926639557,1.407002329826355,0.15101578831672668,1,1,1,51.12827682495117,51.430389404296875,-5.5848798751831055,5.584877967834473,0.2941577434539795,0.26246699690818787,0.28206169605255127,0.20173966884613037,0.00014206048217602074,0.9007068276405334,0.18345393240451813,0.3974877893924713,3,0.21077276766300201,11,0.18806540966033936,7,0.1507515013217926
260,24,-0.05695287883281708,0.016387974843382835,0.1750904619693756,0.09983178228139877,-0.05695287883281708,0.016387974843382835,1.4629919528961182,0.04499807581305504,1,1,0,54.75006103515625,51.6122932434082,-5.550539016723633,5.550537586212158,0.2952387034893036,0.2614608407020569,0.2359972447156906,0.24347861111164093,0.00010346440831199288,0.9293953776359558,0.24714335799217224,0.3111759424209595,7,0.15007847547531128,3,0.14546699821949005,15,0.1329081952571869
260,25,-0.0566251203417778,0.2086247354745865,0.17708709836006165,-0.1329006552696228,-0.0566251203417778,0.2086247354745865,1.479675054550171,-0.059903502464294434,1,1,0,55.49320602416992,49.70981216430664,-5.488890647888184,5.488888740539551,0.2951379120349884,0.261554479598999,0.19517743587493896,0.2903859317302704,9.403693547938019e-05,0.9371086359024048,0.3226328492164612,0.2374148666858673,6,0.18263176083564758,14,0.16185027360916138,7,0.13439267873764038
260,26,-0.05245262384414673,0.4008263647556305,0.17442908883094788,-0.36490243673324585,-0.05245262384414673,0.4008263647556305,1.4574657678604126,-0.16447575390338898,1,1,0,55.3293571472168,47.73686981201172,-5.408113956451416,5.408112049102783,0.29385697841644287,0.26274776458740234,0.15954189002513885,0.3422817289829254,0.00010677967657102272,0.9267534017562866,0.4091927409172058,0.17627939581871033,6,0.2516463100910187,14,0.22500573098659515,2,0.11729554831981659
260,27,-0.044436097145080566,0.5930960178375244,0.16713103652000427,-0.597908079624176,-0.044436097145080566,0.5930960178375244,1.3964859247207642,-0.2695004642009735,1,1,0,53.936161041259766,44.11282730102539,-5.321928977966309,5.321927547454834,0.29140520095825195,0.26504990458488464,0.12888258695602417,0.3987697958946228,0.0001506831613369286,0.8948614597320557,0.5050763487815857,0.1270863264799118,6,0.31615060567855835,14,0.2875572741031647,2,0.10218001902103424
260,28,-0.03257417678833008,0.7855337858200073,0.15517286956310272,-0.8336345553398132,-0.03257417678833008,0.7855337858200073,1.2965677976608276,-0.3757515847682953,1,1,0,52.49911880493164,40.30039978027344,-5.242125988006592,5.242124557495117,0.2877998352050781,0.26847925782203674,0.10287974774837494,0.45921528339385986,0.0002611830714158714,0.8329712152481079,0.6072600483894348,0.08868659287691116,6,0.3686927258968353,14,0.34394168853759766,2,0.08259964734315872
260,29,-0.016863500699400902,0.9782338738441467,0.1385001838207245,-1.073773741722107,-0.016863500699400902,0.9782338738441467,1.1572569608688354,-0.4839916527271271,1,1,0,49.58063888549805,34.845909118652344,-5.173337936401367,5.173336982727051,0.28306591510772705,0.2730634808540344,0.08113668113946915,0.5227317214012146,0.0005459316889755428,0.7317575812339783,0.7111878395080566,0.05967418849468231,6,0.4061904847621918,14,0.39183732867240906,2,0.06304753571748734
260,30,0.002701176330447197,1.171280860900879,0.11702470481395721,-1.3199824094772339,0.002701176330447197,1.171280860900879,0.9778156876564026,-0.5949674844741821,1,1,0,46.44375991821289,28.56634521484375,-5.108354091644287,5.1083526611328125,0.27723684906959534,0.2788390517234802,0.06321012228727341,0.5881800651550293,0.001341183320619166,0.5885952711105347,0.8105958700180054,0.03853380307555199,14,0.4312490224838257,6,0.42877107858657837,10,0.046345166862010956
260,31,0.026126794517040253,1.3647453784942627,0.09062506258487701,-1.5738674402236938,0.026126794517040253,1.3647453784942627,0.7572299242019653,-0.709403395652771,1,1,0,43.71678161621094,20.421865463256836,-5.003124713897705,5.003123760223389,0.2703547179698944,0.2858514189720154,0.04863711819052696,0.6541821956634521,0.003743500215932727,0.4164111614227295,0.897545576095581,0.023748479783535004,14,0.4618789255619049,6,0.43683934211730957,10,0.03433975949883461
260,32,0.05342170223593712,1.5586771965026855,0.05914771184325218,-1.8369641304016113,0.05342170223593712,1.5586771965026855,0.4942166805267334,-0.8279913067817688,1,1,0,39.51592254638672,12.604716300964355,-4.607576847076416,4.6075758934021,0.2624702751636505,0.29415425658226013,0.03695692494511604,0.7191520929336548,0.011368644423782825,0.24616076052188873,0.9628368020057678,0.01388165820389986,14,0.47360938787460327,6,0.42259591817855835,10,0.02433858811855316
260,33,0.08459524810314178,1.7530977725982666,0.02240842767059803,-2.110705614089966,0.08459524810314178,1.7530977725982666,0.18723663687705994,-0.951377272605896,1,1,0,28.752988815307617,6.2308268547058105,-2.5535929203033447,2.553591728210449,0.25364354252815247,0.30380913615226746,0.027728071436285973,0.7813444137573242,0.035582587122917175,0.11407826095819473,0.9969784617424011,0.007642138749361038,14,0.39812538027763367,6,0.3323861360549927,12,0.12418080866336823
260,34,0.11965719610452652,1.9479886293411255,-0.01980568654835224,-2.396381139755249,0.11965719610452652,1.9479886293411255,-0.1654890775680542,-1.0801423788070679,0,0,0,5.3755316734313965,3.5871329307556152,2.7083001136779785,-2.708301305770874,0.24394410848617554,0.31488510966300964,0.020540550351142883,0.8389230966567993,0.1073446199297905,0.03833390772342682,0.9918124675750732,0.0039322213269770145,12,0.40367117524147034,4,0.3127273917198181,14,0.14415527880191803
260,35,0.15861697494983673,1.7530453205108643,-0.06773331016302109,-2.1098458766937256,0.15861697494983673,1.7530453205108643,-0.5659548044204712,-0.9509897232055664,0,0,0,4.857916831970215,3.1527867317199707,5.1652512550354,-5.165252208709717,0.23345111310482025,0.32745662331581116,0.027730265632271767,0.7813282012939453,0.28759869933128357,0.00850003119558096,0.9969301819801331,0.007656947709619999,12,0.5434257388114929,4,0.38742032647132874,8,0.019286826252937317
260,36,0.1936778724193573,1.558663010597229,-0.10993023216724396,-1.8388395309448242,0.1936778724193573,1.558663010597229,-0.9185368418693542,-0.8288366198539734,0,0,0,4.035165309906006,2.610506057739258,5.418750286102295,-5.418751239776611,0.22426526248455048,0.3390030562877655,0.036957673728466034,0.7191475033760071,0.5409024357795715,0.0017822888912633061,0.9631944298744202,0.013826840557157993,12,0.5624752640724182,4,0.3721018433570862,8,0.028906136751174927
260,37,0.22485113143920898,1.3649137020111084,-0.14670701324939728,-1.5822241306304932,0.22485113143920898,1.3649137020111084,-1.2258301973342896,-0.713170051574707,0,0,0,3.0899412631988525,2.4992098808288574,5.427675724029541,-5.427676677703857,0.21630272269248962,0.3494502007961273,0.04862574115395546,0.6542393565177917,0.7833107709884644,0.0003814185911323875,0.900047779083252,0.02335980534553528,12,0.5601215958595276,4,0.3467041254043579,8,0.04163052514195442
260,38,0.25214940309524536,1.171810507774353,-0.1783515065908432,-1.338658332824707,0.25214940309524536,1.171810507774353,-1.4902399778366089,-0.6033854484558105,0,0,1,1.7785167694091797,2.3844833374023438,5.402642726898193,-5.40264368057251,0.2094881385564804,0.3587356507778168,0.0631658062338829,0.5883608460426331,0.9417852759361267,8.849332516547292e-05,0.8176279067993164,0.03722846508026123,12,0.5452390909194946,4,0.3183991312980652,8,0.05853629857301712
260,39,0.2755856215953827,0.9793256521224976,-0.2051246613264084,-1.1066687107086182,0.2755856215953827,0.9793256521224976,-1.7139467000961304,-0.4988187253475189,0,0,1,0.8826338052749634,2.5819480419158936,5.363512992858887,-5.363513946533203,0.20375533401966095,0.36680707335472107,0.0810248926281929,0.5230979919433594,0.9988452792167664,2.3331356715061702e-05,0.7250506281852722,0.05638987571001053,12,0.5164793133735657,4,0.28689584136009216,8,0.07999970763921738
